Data info
File name: C:\DEWESoft7\Data\Test_kastor_choco_2.d7d
Start time: 20/01/1980 07:28:21.614
Number of channels: 3
Sample rate: 5000
Store type: Toujours rapide


Data1

Time [s]	AI 0 [V]	AI 1 [V]	AI 2 [V]	
0,0938	0,9257648	1,5839155	1,6210806
0,094	0,92590308	1,5838022	1,6209614
0,0942	0,92609382	1,5835936	1,6211164
0,0944	0,92586136	1,5832837	1,6211188
0,0946	0,92520452	1,5835578	1,6212559
0,0948	0,92462039	1,5840669	1,6213274
0,095	0,9240756	1,5844138	1,6212714
0,0952	0,92364407	1,5848787	1,621269
0,0954	0,92340684	1,5853448	1,6215134
0,0956	0,92311001	1,5857716	1,6217732
0,0958	0,92280722	1,5860553	1,6220701
0,096	0,92241502	1,5866346	1,6225588
0,0962	0,92184758	1,5871413	1,6227829
0,0964	0,9217999	1,5877516	1,6230583
0,0966	0,9220252	1,5883751	1,6234052
0,0968	0,9223578	1,5890987	1,6234016
0,097	0,92309809	1,5899165	1,6229796
0,0972	0,92413044	1,5902181	1,6224575
0,0974	0,92506623	1,5903063	1,622436
0,0976	0,92578626	1,5903957	1,6226649
0,0978	0,92610931	1,5902073	1,6229022
0,098	0,92654085	1,5897305	1,623137
0,0982	0,92695928	1,5890903	1,6233253
0,0984	0,92733717	1,588486	1,6235149
0,0986	0,92739797	1,5878398	1,6235483
0,0988	0,92789268	1,5875227	1,6235709
0,099	0,92840052	1,5871198	1,6237628
0,0992	0,92869616	1,5865285	1,6238856
0,0994	0,92921472	1,5860791	1,6238022
0,0996	0,92912292	1,5854437	1,6238105
0,0998	0,92874503	1,5854151	1,6236818
0,1	0,92845654	1,5855176	1,6236639
0,1002	0,92816329	1,5854402	1,6235185
0,1004	0,92797017	1,5854759	1,623354
0,1006	0,92783308	1,5853519	1,6231036
0,1008	0,92796302	1,5852613	1,6227877
0,101	0,9278152	1,5851922	1,6224837
0,1012	0,92730737	1,5849812	1,6222298
0,1014	0,9265945	1,5848703	1,6220999
0,1016	0,92583394	1,5848584	1,6223466
0,1018	0,92504597	1,5849216	1,6227376
0,102	0,9243474	1,5849454	1,6230309
0,1022	0,92434263	1,5847368	1,6232598
0,1024	0,92448092	1,5842886	1,6235673
